Ehdokas,Puolue,Äänimäärä,Vertailuluku
Li Andersson VALITTU,VAS,15071,27001
Petteri Orpo VALITTU,KOK,10652,68466
Annika Saarikko VALITTU,KESK,10510,42763
Stefan Wallin VALITTU,RKP,9787,34233
"""Kike"" Ritva Elomaa VALITTU",PS,9571,50813
Ilkka Kanerva VALITTU,KOK,9183,22822
Ville Niinistö VALITTU,VIHR,8835,22875
Anne-Mari Virolainen VALITTU,KOK,7169,17116.5
Ville Tavio VALITTU,PS,6847,25406.5
Eeva-Johanna Eloranta VALITTU,SDP,6689,40835
Katja Taimela VALITTU,SDP,6017,20417.5
Esko Kiviranta VALITTU,KESK,5994,21381.5
Ilkka Kantola VALITTU,SDP,5908,13611.667
Maria Lohela VALITTU,PS,5583,16937.667
Annika Lapintie VALITTU,VAS,5027,13500.5
Olavi Ala-Nissilä VALITTU,KESK,4908,14254.333
Mika Maaskola VARALLA,SDP,4769,10208.75
Vilhelm Junnila VARALLA,PS,4769,12703.25
Saara-Sofia Sirén VALITTU,KOK,4625,13693.2
Pertti Hemmilä VARALLA,KOK,4324,11411
Jani Kurvinen VARALLA,KESK,4014,10690.75
Janne Laulumaa,SDP,3795,8167
Janne Aso,PS,3679,10162.6
Lauri Heikkilä,PS,3658,8468.833
Heikki Tamminen,PS,3523,7259
Minna Arve,KOK,3381,9780.857
Ida Schauman,RKP,3324,8558.25
Pekka Myllymäki,KESK,3255,8552.6
Ville Valkonen,KOK,3036,7607.333
Johannes Yrttiaho VARALLA,VAS,2930,9000.333
Annina Ruottu,KESK,2772,7127.167
Elina Rantanen VARALLA,VIHR,2692,11437.5
Lauri Kattelus,KOK,2620,6846.6
Mikko Lundén,PS,2594,6351.625
Ulla Huittinen,KESK,2430,6109
Sanna Vauranoja,KOK,2334,6224.182
Ilpo Haalisto,PS,2323,5645.889
Annika Viitanen,KOK,2263,5705.5
Jaana Vasama,SDP,2172,6805.833
Saara Ilvessalo,VIHR,2138,7625
Satu Anttila,PS,1867,5081.3
Nina Kallio,SDP,1755,5833.571
Tanja Raisto-Elo,KESK,1724,5345.375
Ville Auvinen,KD,1708,6319
Saku Nikkanen,SDP,1662,5104.375
Juha Haapakoski,KOK,1607,5266.615
Juhani Nummentalo,KOK,1605,4890.429
Silvia Koski,PS,1513,4619.364
Taru Pätäri,SDP,1486,4537.222
Mari-Elina Koivusalo,SDP,1434,4083.5
Heikki Mäkinen,KESK,1433,4751.444
Niina Ratilainen,VIHR,1144,5718.75
Sanna Leivonen,PS,1128,4234.417
Eveliina Tyyskänen,VAS,1100,6750.25
Laura Rantanen,VIHR,1090,4575
Mira Katajamäki,PS,1088,3908.692
Jukka Rantala,KESK,1086,4276.3
Lola Wallinkoski,KOK,1050,4564.4
Kyösti Kurvinen,SDP,1043,3712.273
Riitta Karjalainen,KESK,1042,3887.545
Raija Eeva,KESK,985,3563.583
Mari Saario,VIHR,973,3812.5
Mikko Välttilä,VIHR,946,3267.857
Minna Ylikännö,SDP,941,3402.917
Håkan Westergård,KD,903,3159.5
Jere Järvinen,SDP,890,3141.154
Tarja Mäki-Punto-Ristanen,KOK,829,4279.125
Merja Hermonen,VIHR,826,2859.375
Kimmo Tarke,PS,740,3629.5
Ari-Pekka Haapanen,PS,721,3387.533
Jukka Vornanen,VIHR,717,2541.667
Juhani Pilpola,PS,679,3175.813
Ossi Nikula,KOK,677,4027.412
Anna Sirkiä,KESK,673,3289.462
Helena Särkijärvi,VIHR,661,2287.5
Jetro Vesti,PIR,645,2008
Tuula Hällfors-Laaksonen,SDP,643,2916.786
Nelli Baran,SDP,627,2722.333
Kenneth Sundberg,KESK,595,3054.5
Jukka Kärkkäinen,VAS,576,5400.2
Konsta Weber,VIHR,563,2079.545
Kalevi Kallonen,KESK,543,2850.867
Simo Rajamäki,PS,530,2989
Pertti Pokki,SDP,508,2552.188
Pertti Vallittu,KD,499,2106.333
Maija Salo,SDP,496,2402.059
Tuomo Liljenbäck,VIHR,483,1906.25
Mauri Ikonen,KESK,460,2672.688
Veera Köpsi,KD,450,1579.75
Marja Ruokonen,VAS,434,4500.167
Roda Hassan,VIHR,402,1759.615
Teemu Saikkonen,VIHR,383,1633.929
Anne Bland,VIHR,351,1525
Sara Luotonen,VIHR,345,1429.688
Timo Hellman,PIR,339,1004
Viktoria Kulmala,KESK,339,2515.471
Niko Porjo,VIHR,326,1345.588
Pentti Kallio,VAS,326,3857.286
Jari Viherlampi,KD,324,1263.8
Markku Saarinen,KD,323,1053.167
Sebastian Mäki,PIR,316,669.333
Jari Pulkkinen,KD,271,902.714
Kari Leppäjoki,E167,268,268
Eva-Maija Harjunpää,KD,268,789.875
Kaisa Vallavuori,VAS,266,3375.125
Elina Seitz,KD,250,702.111
Vesa Kiertokari,KD,244,631.9
Jaana Shelby,KD,232,574.455
Tuukka Pääkkönen,VAS,195,3000.111
Johan Kustonen,PIR,192,502
Mohammadamin Allahmoradi,VAS,188,2700.1
Jarmo Salo,KD,175,526.583
Katri Fältberg,KD,169,486.077
Sade Kondelin,VAS,164,2454.636
Kalle Niskanen,SKP,161,727
Jaakko Lindfors,VAS,148,2250.083
Raino Hannula,KD,146,451.357
Jari Suominen,VAS,145,2077
Meri Rawstorne,KD,139,421.267
Kari Tynkkynen,KD,134,394.938
Janne Uotila,PIR,134,401.6
Julius Karlsson,VAS,133,1928.643
Jarmo Nevalainen,ITSP,132,963
Annika Karvonen,VAS,125,1800.067
Hilkka Laikko,ITSP,123,481.5
Kaija Kiessling,SKP,122,363.5
Päivi Eskola,ITSP,120,321
Jari Ahlfors,ITSP,112,240.75
Juha Kaartinen,PIR,110,334.667
Lasse Kärkkäinen,PIR,108,286.857
Juha Hämäläinen,ITSP,105,192.6
Pasi Hentunen,ITSP,103,160.5
Toivo Tonta,PIR,101,251
Tarja Puotsaari,SKP,95,242.333
Lauri Aronen,VAS,95,1687.563
Antti Tulonen,M11,87,172
Lilja Roth,KD,84,371.706
Teemu Luoma-aho,VAS,78,1588.294
Kai-Tom Koivunen,ITSP,74,137.571
Markus Uutela,STP,64,184
Milka Pyrrö,PIR,63,223.111
Pertti Haverinen,SKP,58,181.75
Teppo Honkasalo,ITSP,57,120.375
Jouko Miettinen,ITSP,49,107
Monica King,M11,43,86
Indra Hinkkanen,M11,42,57.333
Anne Luukkonen,STP,42,92
Markku Hongisto,SKP,40,145.4
Juhani Honkonen,ITSP,39,96.3
Riku Kortejärvi,STP,36,61.333
Voitto Suominen,KTP,36,121.167
Henri Autero,ITSP,29,87.545
Joel Vuorio,SKP,28,103.857
Juha Postari,KTP,27,90.875
Miikael Jalonen,SKP,25,80.778
Sanna Siirtola,SKP,24,72.7
Seija Leppäjoki,SKP,22,66.091
Esko Luukkonen,STP,21,36.8
Jarmo Vikman,STP,21,46
Eira Kejonen,SKP,21,60.583
Teuvo Turunen,ITSP,20,80.25
Kirsti Vuolo-Äärilä,SKP,19,55.923
Martti Leppänen,SKP,14,51.929
Matti Sanderson,SKP,13,45.438
Ken Helenius,SKP,13,48.467
Eva Holm,SKP,9,42.765
